LEXICON,POS,RIGHT,LEFT,HAND_DIFF,MOV_ID,HAND,PLACE
AUT_0,,1.1622727482586634,2.985453813403041,-1.8231810651443776,1,17,23
TAVA_0,Ad ,0.39539982911005633,1.594269017823441,-1.1988691887133847,1,11,23
ÇAMAŞIR_0,Ad ,0.6841396143812032,1.8337393908485282,-1.149599776467325,1,25,23
GECIKMEK_0,Eylem ,0.49826023986581086,1.5679085108774022,-1.0696482710115913,1,28,21
İLKÖĞRETIM_0,Ad ,0.6794400032121768,1.7286443184075049,-1.049204315195328,1,17,23
SAĞ_1,Ad ,0.2543545259236679,1.278737118352621,-1.0243825924289531,2,25,20
REFAKAT ETMEK_0,Eylem ,0.7019011595357607,1.6684313330675753,-0.9665301735318146,1,26,21
VARDIYA_0,Ad ,0.6949012329306816,1.5935954994397599,-0.8986942665090782,1,8,1
ZORLAMAK_1,Ad ,0.5111018681670139,1.3753979314352511,-0.8642960632682373,2,11,1
EZIYET_0,Ad ,0.7941942116259901,1.653212348689939,-0.8590181370639489,1,19,26
MARANGOZ_0,Ad ,0.5243675540364734,1.380964305161862,-0.8565967511253887,1,25,1
"CEZA KESMEK, CEZA VERMEK_0",Eylem ,0.7627415530322293,1.5742860873828586,-0.8115445343506292,1,5,24
HAYRAN_0,Sıfat ,0.674054790035918,1.4839952653082529,-0.8099404752723349,2,31,1
KART _0,Ad ,0.6714200202504478,1.469187482725294,-0.7977674624748462,3,20,21
TAKIP_0,Ad ,0.667568200654157,1.4623407105339878,-0.7947725098798308,1,17,1
KARMA KARIŞIK_0,Sıfat ,0.556118312495619,1.3490327828566284,-0.7929144703610094,1,19,1
EHLIYET_0,Ad ,0.2566949630085259,1.0438958524769544,-0.7872008894684285,1,28,24
ÇALIŞMAK _1,Eylem ,1.1848460698216372,1.9717666995898402,-0.786920629768203,1,11,1
GÖVDE_2,,0.40421362178039366,1.1827305403685568,-0.7785169185881632,1,28,14
GEÇMIŞ_1,Ad ,0.34852479561117183,1.1242981677795028,-0.7757733721683309,2,28,25
KESMEK_1,Eylem ,0.7804533907466502,1.5559416149425278,-0.7754882241958776,1,1,11
ANTRENÖR_0,Ad ,0.8857089354325206,1.6577133671634408,-0.7720044317309201,1,29,1
YAVAŞLAMAK_0,Eylem ,0.6170318430273403,1.3773541500394029,-0.7603223070120626,1,28,21
ABARTMAK_0,Eylem ,1.0137784432256722,1.7655352200298875,-0.7517567768042153,2,8,2
MARŞ_0,Ad ,1.5856666486785616,2.309853696401655,-0.7241870477230934,1,17,1
SUÇLAMAK_0,Eylem ,0.5726132722416576,1.2691451273741685,-0.6965318551325109,1,8,14
SAHA_0,Ad ,1.2072430943741712,1.9031813362502301,-0.6959382418760589,1,20,1
MESAFE_0,Ad ,1.4078312742444887,2.0810903937501695,-0.6732591195056807,2,17,23
